,Number,Na2O,K2O,Al2O3,SiO2,CaO,MgO,Fe2O3,S,PPP,P2O5,Albit,GidroSl,Mont,Clay,Q,Dolomit,Calcit,Carb,Pyrit,Siderit,UV,Kerogen,OV,Appatit,well,field
2819,35.56,1.58,3.43,18.3,52.58,1.02,2.27,4.82,1.86,12.96,0.12,13.36883870967742,38.111111111111114,21.336559139784946,59.44767025089606,14.787204301075267,1.319677093246292,1.103624311095695,2.423301404341987,3.4766355140186915,3.830522119961288,0.5520000000000002,4.704908646885376,5.2569086468853765,0.0,6П,Тайтымское
2820,35.84,1.57,3.22,18.13,51.98,0.91,2.08,4.4,1.62,14.73,0.13,13.284225806451612,35.77777777777778,24.068817204301077,59.846594982078855,13.93691397849462,0.38945234516514426,1.4123145370993815,1.8017668822645256,3.0280373831775704,3.4142730946944693,1.298,6.50943036235537,7.80743036235537,0.0,6П,Тайтымское
2821,36.32,1.4,2.65,14.8,46.27,6.83,2.04,5.49,3.29,15.17,0.31,11.845806451612901,29.444444444444443,18.31720430107528,47.76164874551972,15.093978494623656,2.04965423600179,11.074225060587304,13.123879296589095,6.149532710280374,3.2142003237188383,0.3910000000000002,4.7100434309399875,5.1010434309399875,0.0,6П,Тайтымское
2822,36.64,2.29,3.34,18.41,52.37,1.66,2.26,4.98,1.53,11.9,0.2,19.376354838709677,37.11111111111111,17.5462365591398,54.65734767025091,12.845817204301069,2.0045534239915073,1.8738056989474026,3.87835912293891,2.8598130841121496,4.951725952125992,0.33999999999999986,3.7833434400098236,4.1233434400098234,0.0,6П,Тайтымское
2823,36.95,2.38,3.41,18.57,54.12,1.27,2.31,5.03,1.5,10.13,0.24,20.137870967741932,37.888888888888886,16.43924731182797,54.328136200716855,14.275263440860211,2.283549780469654,1.02647250390502,3.310022284374674,2.803738317757009,5.109402309274225,0.18099999999999997,1.8735869374619392,2.054586937461939,0.0,6П,Тайтымское
2824,37.92,1.68,3.4,18.18,53.72,1.7,2.49,5.11,1.4,11.04,0.14,14.214967741935483,37.77777777777778,20.413978494623652,58.191756272401435,15.971107526881717,2.517882666144894,1.6665217558869998,4.184404422031894,2.616822429906542,5.31405005460448,0.37200000000000005,2.901169534853159,3.273169534853159,0.0,6П,Тайтымское
2825,38.15,2.03,3.43,18.15,51.59,1.71,2.47,6.22,1.09,11.78,0.16,17.176419354838707,38.111111111111114,16.884946236559134,54.996057347670245,13.450268817204307,2.9137857941187826,1.4694521864706096,4.383237980589392,2.0373831775700935,8.290142421373691,0.32599999999999996,2.550421712446715,2.876421712446715,0.0,6П,Тайтымское
2826,38.96,1.71,3.36,18.4,53.6,1.08,2.45,4.98,1.4,11.58,0.12,14.468806451612902,37.33333333333333,21.933870967741946,59.267204301075274,15.108145161290317,2.1708250842694135,0.7486445559840305,2.919469640253444,2.616822429906542,5.011417136155333,0.4349999999999999,3.41912170337688,3.85412170337688,0.0,6П,Тайтымское
2827,39.51,2.23,3.46,18.44,53.15,1.22,2.55,5.79,1.29,10.53,0.18,18.86867741935484,38.44444444444444,16.189784946236568,54.634229390681014,14.0465752688172,3.3350273782948054,0.366470984971629,3.7014983632664347,2.411214953271028,7.045143579073302,0.11400000000000002,1.8839086771181617,1.9979086771181618,0.0,6П,Тайтымское
2828,40.14,1.94,3.54,18.82,53.78,1.25,2.52,5.0,1.06,10.7,0.15,16.41490322580645,39.333333333333336,19.141935483870967,58.4752688172043,14.444322580645165,2.611911025729964,0.8125380696850371,3.4244490954150013,1.9813084112149533,5.6636526751188345,0.2739999999999999,2.8574738839937144,3.1314738839937144,0.0,6П,Тайтымское
2829,40.47,1.86,3.56,18.82,53.64,1.53,2.63,5.03,1.13,10.49,0.14,15.738,39.55555555555556,19.46666666666667,59.022222222222226,14.500666666666667,3.031813252458413,1.0842054958183995,4.1160187482768125,2.11214953271028,5.575780193168749,0.15999999999999998,2.688082582274826,2.8480825822748264,0.0,6П,Тайтымское
2830,40.71,1.84,3.7,18.49,50.85,1.93,2.78,6.01,1.03,11.95,0.19,15.568774193548387,41.111111111111114,15.647849462365581,56.7589605734767,13.051252688172047,4.06336449152266,1.237962010795762,5.301326502318422,1.925233644859813,7.849134443297245,0.225,2.750608668048326,2.9756086680483262,0.0,6П,Тайтымское
2831,1.93,0.2,0.75,4.01,10.45,46.36,1.62,1.03,0.31,34.01,0.2,1.6922580645161291,8.333333333333332,5.904838709677421,14.238172043010753,2.400306451612901,5.240960360023836,79.8757727516952,85.11673311171903,0.5794392523364486,0.9162951040366615,0.0,0.0,0.0,0.0,72П,Лонтынь-Яхское
2832,2.22,2.8,3.03,13.32,65.01,5.26,0.9,2.21,1.37,4.96,0.17,23.691612903225803,33.666666666666664,0.0,29.045161290322586,35.21883870967743,0.0,9.38549019607843,9.38549019607843,2.560747663551402,0.5721437422726197,0.013000000000000001,0.46093135452013856,0.47393135452013857,0.0,72П,Лонтынь-Яхское
2833,2.55,2.27,2.44,11.1,57.82,15.2,0.7,2.05,1.58,5.77,0.14,19.207129032258063,27.11111111111111,0.0,24.551612903225806,33.200887096774196,0.0,27.121568627450976,27.121568627450976,2.9532710280373835,0.10004389845727872,0.025999999999999995,0.3937677711464085,0.4197677711464085,0.0,72П,Лонтынь-Яхское
2834,2.84,2.77,3.08,15.8,56.08,1.52,0.87,5.63,4.96,8.32,0.17,23.437774193548385,34.22222222222222,4.881182795698935,39.103405017921155,21.566586021505373,0.0,2.712156862745098,2.712156862745098,9.271028037383177,0.7377786131740871,0.032,0.5367176254241662,0.5687176254241663,0.0,72П,Лонтынь-Яхское
2835,3.26,0.79,1.47,5.97,21.78,31.2,2.7,2.23,0.58,19.16,11.68,6.68441935483871,16.333333333333332,0.0,15.56774193548387,9.94625806451613,9.863137579266613,22.63771796726314,32.50085554652975,1.0841121495327102,2.754615653605895,0.0,2.0027731019610555,2.0027731019610555,27.90381857187763,72П,Лонтынь-Яхское
2836,3.66,0.42,0.77,3.06,10.35,30.52,6.41,8.87,4.45,20.01,0.5,3.553741935483871,8.555555555555555,0.0,7.896774193548388,4.235225806451612,28.025207241981438,39.24400520064656,67.269212442628,8.317757009345796,9.961467906029867,0.0,0.0,0.0,0.0,72П,Лонтынь-Яхское
2837,3.92,1.0,2.37,8.94,29.54,18.12,5.83,2.91,0.9,23.61,0.3,8.461290322580645,26.333333333333332,0.0,24.316129032258065,12.416870967741934,22.659795974634683,20.03108370229812,42.6908796769328,1.6822429906542056,3.1238276610877174,0.0,0.2104560277111338,0.2104560277111338,0.0,72П,Лонтынь-Яхское
2838,4.23,0.64,1.55,6.48,19.03,23.89,10.5,2.74,0.83,30.46,2.0,5.4152258064516126,17.22222222222222,1.3021505376344145,18.524372759856636,6.635247311827956,45.219276809828315,13.34083641741167,58.56011322723998,1.5514018691588785,3.2257994003700574,0.0,0.0,0.0,4.778051125321512,72П,Лонтынь-Яхское
2839,4.48,1.39,2.71,9.13,65.17,2.71,1.54,4.23,2.53,8.09,1.61,11.761193548387096,30.11111111111111,0.0,22.810752688172045,46.478580645161294,2.4539215145666757,0.0,2.4539215145666757,4.728971962616822,3.003064992830462,0.461,1.935738564287558,2.396738564287558,3.846331155883817,72П,Лонтынь-Яхское
2840,4.84,1.28,1.67,9.34,71.28,1.76,0.63,1.5,1.78,9.73,0.25,10.830451612903225,18.555555555555554,8.337634408602156,26.89318996415771,50.95482795698925,0.0,3.140392156862745,3.140392156862745,1.8832991868038698,0.0,1.366,4.984680150569858,6.350680150569858,0.0,72П,Лонтынь-Яхское
